,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
24,3814700200,11/20/2014,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865
25,1202000200,11/3/2014,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705
28,5101402488,6/24/2014,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235
31,2426039314,12/1/2014,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756
34,7955080270,12/3/2014,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720
38,7895500070,2/13/2015,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800
44,1432701230,7/29/2014,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808
46,8945200830,3/25/2015,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840
50,5245600105,9/16/2014,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364
51,7231300125,2/17/2015,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133
56,9478500640,8/19/2014,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2008,0.0,98042,47.3663,-122.11399999999999,2250,4500
57,2799800710,4/7/2015,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750
59,8079040320,2/23/2015,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542
61,9558200045,8/28/2014,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750
64,1189001180,6/3/2014,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080
65,3253500160,11/20/2014,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000
67,3717000160,10/9/2014,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557
68,1274500060,8/25/2014,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635
71,1049000060,1/5/2015,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745
73,5416510140,7/10/2014,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000
74,3444100400,3/16/2015,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1090,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529
76,4036801170,10/13/2014,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500
78,6300000287,6/9/2014,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693
80,5104520400,12/2/2014,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363
81,7437100340,12/22/2014,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405
82,9418400240,10/28/2014,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720
83,1523059105,1/28/2015,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797
84,1133000671,6/2/2014,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203
86,2599001200,11/3/2014,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165
88,1332700270,5/19/2014,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025
89,3869900162,9/4/2014,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106
90,2791500270,5/22/2014,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510
93,6021501535,7/25/2014,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500
96,3422049190,3/30/2015,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616
97,1099611230,9/12/2014,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400
98,722079104,7/11/2014,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,1210,600.0,1980,0.0,98038,47.4109,-121.958,1650,135036
99,7338200240,5/16/2014,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,2320,0.0,1992,0.0,98045,47.4838,-121.714,2550,35065
104,6197800045,9/24/2014,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,1210,0.0,1954,0.0,98058,47.4375,-122.184,1640,14910
105,1328310370,4/2/2015,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,880.0,1978,0.0,98058,47.4431,-122.133,2250,8162
107,3530510041,7/23/2014,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966
112,2525310310,9/16/2014,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,0.0,1980,0.0,98038,47.3624,-122.031,1540,11656
113,6126500060,11/24/2014,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500
117,4060000240,6/23/2014,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,0.0,1945,0.0,98178,47.5009,-122.24799999999999,1190,6780
118,3454800060,1/8/2015,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000
121,6675500070,11/19/2014,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104
122,3626039187,4/6/2015,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,0.0,1953,0.0,98117,47.6999,-122.36399999999999,1710,6000
127,8732020310,7/17/2014,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400
129,7853210060,4/6/2015,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748
130,3668000070,1/5/2015,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680
135,921049315,8/13/2014,199000.0,3,1.75,1320,17390,1.0,0.0,0.0,4,7,1320,0.0,1956,0.0,98003,47.3257,-122.296,1550,19265
136,3655000070,8/5/2014,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1010.0,1968,0.0,98003,47.3309,-122.29899999999999,1750,8140
138,3992700335,7/7/2014,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715
142,1432900240,5/8/2015,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579
143,6140100875,4/15/2015,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,120.0,1923,0.0,98133,47.7144,-122.351,1560,7940
147,3224079105,8/6/2014,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,3,7,2420,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842
148,8075400570,10/30/2014,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1130,1130.0,1960,0.0,98032,47.3887,-122.286,1360,18000
152,537000445,3/31/2015,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633
154,7920100045,5/16/2014,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,700,0.0,1942,0.0,98115,47.678999999999995,-122.3,1010,5100
155,8960000030,7/28/2014,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1180,0.0,1967,0.0,98058,47.4479,-122.176,1190,7669
157,8731900200,8/7/2014,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1620,1020.0,1967,0.0,98023,47.3135,-122.369,1980,7875
158,8029200135,11/13/2014,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1270,0.0,1916,2013.0,98022,47.2086,-121.99600000000001,1160,7198
159,1081200350,10/3/2014,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,1760,0.0,1968,0.0,98059,47.4715,-122.118,1730,11180
160,84000105,5/7/2014,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1030,1030.0,1962,0.0,98146,47.4877,-122.335,1010,11680
161,3756500060,3/9/2015,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1780,0.0,1962,0.0,98034,47.7171,-122.193,1200,9660
164,2617300160,8/12/2014,420000.0,3,2.0,2020,38332,1.0,0.0,0.0,4,7,1010,1010.0,1975,0.0,98027,47.4582,-122.023,2110,36590
165,2558660270,12/8/2014,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1180,400.0,1976,0.0,98034,47.7209,-122.16799999999999,1640,7500
166,2009000370,2/19/2015,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,700,640.0,1949,0.0,98198,47.408,-122.32700000000001,1830,9750
169,1755700060,6/11/2014,371500.0,3,2.0,1370,8336,1.0,0.0,0.0,5,7,1370,0.0,1964,0.0,98133,47.7458,-122.331,1770,7288
170,4330600435,3/16/2015,284000.0,3,1.75,1560,21000,1.0,0.0,0.0,3,7,1560,0.0,1954,0.0,98166,47.4776,-122.337,1070,7920
171,9542800700,1/2/2015,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,1670,490.0,1978,0.0,98023,47.3026,-122.374,1930,7350
172,1999700045,5/2/2014,313000.0,3,1.5,1340,7912,1.5,0.0,0.0,3,7,1340,0.0,1955,0.0,98133,47.7658,-122.339,1480,7940
175,7234600798,2/10/2015,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,820,300.0,2008,0.0,98122,47.6106,-122.31,1590,1795
176,3881900445,7/9/2014,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1320,650.0,1986,0.0,98144,47.5868,-122.30799999999999,1280,2150
177,2254502445,5/30/2014,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,1220,0.0,1901,0.0,98122,47.6101,-122.307,1200,4800
178,5437810320,11/17/2014,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1320,630.0,1975,0.0,98022,47.1976,-121.999,1950,8941
179,9158100075,1/7/2015,330000.0,2,1.0,1350,8220,1.0,0.0,0.0,3,7,1060,290.0,1949,0.0,98177,47.7224,-122.35799999999999,1540,8280
180,3830630310,7/25/2014,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1670,0.0,1988,0.0,98030,47.3505,-122.179,1670,6183
183,6661200320,7/23/2014,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,1050,0.0,1996,0.0,98038,47.3848,-122.039,1050,3417
186,8731951370,4/15/2015,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,1100,390.0,1969,0.0,98023,47.3099,-122.37899999999999,2190,8910
190,9477200200,8/18/2014,305000.0,3,1.75,1650,9480,1.0,0.0,0.0,3,7,1220,430.0,1977,0.0,98034,47.726000000000006,-122.191,1540,8400
191,1432600560,11/5/2014,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,1190,0.0,1959,0.0,98058,47.4616,-122.184,1230,7980
193,3663500060,6/25/2014,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,1420,760.0,1962,0.0,98133,47.7606,-122.336,1900,7818
194,3996900125,12/1/2014,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,1060,0.0,1948,0.0,98155,47.7481,-122.3,1570,10228
195,7796450200,5/15/2014,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,1690,0.0,2003,0.0,98023,47.2779,-122.34700000000001,2550,5001
196,7549802535,11/11/2014,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,1130,840.0,1920,0.0,98108,47.5511,-122.31200000000001,1500,6480
199,1222069094,10/14/2014,385000.0,3,1.75,1350,155073,1.0,0.0,0.0,4,7,1350,0.0,1969,0.0,98038,47.4058,-121.994,1560,50965
200,3542300060,3/11/2015,210000.0,3,1.0,860,11725,1.0,0.0,0.0,4,6,860,0.0,1943,0.0,98056,47.5093,-122.184,1300,9514
201,2222059065,11/12/2014,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,1940,0.0,1994,0.0,98042,47.3777,-122.165,2030,10450
203,100600550,8/4/2014,226500.0,3,1.5,1300,7370,1.0,0.0,0.0,4,7,900,400.0,1976,0.0,98023,47.3025,-122.37,1430,7500
204,3211100860,3/3/2015,274250.0,3,1.0,910,8450,1.0,0.0,0.0,4,6,910,0.0,1962,0.0,98059,47.4787,-122.15799999999999,1400,8040
207,7465900060,2/5/2015,425000.0,3,1.0,1010,5864,1.0,0.0,0.0,3,7,1010,0.0,1915,0.0,98116,47.5733,-122.381,1290,5000
208,1222000055,11/23/2014,180250.0,2,0.75,900,9600,1.0,0.0,0.0,3,6,900,0.0,1941,0.0,98166,47.4604,-122.339,1250,14280
210,2310030510,4/22/2015,320000.0,4,2.25,1550,7579,2.0,0.0,0.0,3,8,1550,0.0,1993,0.0,98038,47.354,-122.04700000000001,1630,6397
215,257000138,1/15/2015,280000.0,2,1.0,850,16400,1.0,0.0,0.0,3,6,850,0.0,1923,0.0,98168,47.4889,-122.29899999999999,1100,14459
221,7138000260,6/5/2014,279950.0,3,2.0,1750,9750,1.0,0.0,0.0,3,7,1350,400.0,1961,0.0,98198,47.398,-122.29899999999999,1900,10125
223,1922059282,9/18/2014,325000.0,3,2.25,2220,16020,1.0,0.0,0.0,4,8,1780,440.0,1966,0.0,98030,47.3758,-122.21700000000001,2080,9583
224,705700390,9/3/2014,328000.0,3,2.25,2020,8379,2.0,0.0,0.0,3,7,2020,0.0,1994,0.0,98038,47.3828,-122.023,2020,8031
225,7454001200,6/4/2014,390000.0,3,2.25,1250,7500,1.0,0.0,0.0,5,7,1250,0.0,1942,0.0,98146,47.5123,-122.37299999999999,1280,7392
227,7972000200,5/29/2014,264950.0,4,2.25,1720,9753,1.0,0.0,0.0,4,7,1120,600.0,1978,0.0,98023,47.2922,-122.37100000000001,1510,9753
228,722059070,1/15/2015,235000.0,3,1.0,1430,15246,1.0,0.0,0.0,4,7,980,450.0,1961,0.0,98031,47.4075,-122.214,1960,13068
232,9264902050,11/21/2014,315000.0,6,2.75,2940,7350,1.0,0.0,0.0,3,8,1780,1160.0,1978,0.0,98023,47.3103,-122.339,2120,8236
233,943100260,11/20/2014,213000.0,2,1.0,1000,10200,1.0,0.0,0.0,3,6,1000,0.0,1961,0.0,98024,47.5687,-121.899,1150,13702
236,4058000060,4/9/2015,416000.0,3,2.0,2220,94300,1.0,0.0,0.0,5,7,1640,580.0,1976,0.0,98010,47.3459,-121.95,2070,80100
237,7228500560,3/20/2015,410000.0,4,1.0,1970,4740,1.5,0.0,0.0,3,7,1670,300.0,1904,2005.0,98122,47.6136,-122.303,1510,4740
240,3584000310,12/8/2014,225000.0,3,1.75,1430,8505,1.0,0.0,0.0,4,7,1430,0.0,1968,0.0,98003,47.3173,-122.319,1190,8640
241,8150100045,10/1/2014,210000.0,2,1.0,830,6000,1.0,0.0,0.0,3,6,830,0.0,1940,0.0,98126,47.5308,-122.376,830,4960
243,6131600075,4/27/2015,225000.0,3,1.0,1300,8316,1.0,0.0,0.0,4,6,1300,0.0,1954,0.0,98002,47.3221,-122.21600000000001,1260,8316
245,8029510030,2/12/2015,363000.0,3,2.5,2740,11872,2.0,0.0,0.0,3,9,2740,0.0,1990,0.0,98023,47.3076,-122.395,2570,10377
247,7899800890,2/26/2015,181000.0,2,1.5,720,5120,1.0,0.0,0.0,3,6,720,0.0,1954,0.0,98106,47.5218,-122.35700000000001,1150,2566
248,3021059276,3/14/2015,250000.0,4,2.0,2010,7312,1.0,0.0,0.0,4,7,2010,0.0,1976,0.0,98002,47.2785,-122.213,2010,7650
250,3832710960,9/23/2014,260000.0,3,2.0,1810,7209,1.0,0.0,0.0,4,7,1240,570.0,1978,0.0,98032,47.3656,-122.27799999999999,1750,7209
252,1422300030,4/1/2015,415000.0,3,2.25,1510,36224,2.0,0.0,0.0,3,8,1510,0.0,1991,0.0,98045,47.4616,-121.711,1730,36224
253,1105000588,4/21/2015,349500.0,3,1.0,1400,3538,1.0,0.0,0.0,3,7,800,600.0,1953,0.0,98118,47.5405,-122.27,1620,6331
254,3830630060,9/29/2014,245000.0,3,2.5,1730,7442,2.0,0.0,0.0,3,7,1730,0.0,1987,0.0,98030,47.3507,-122.178,1630,6458
256,7972601890,10/20/2014,385000.0,4,1.75,2360,7620,1.0,0.0,0.0,4,7,1180,1180.0,1955,0.0,98106,47.5278,-122.345,1910,7620
257,5127001620,2/11/2015,315000.0,3,1.75,1580,11455,1.0,0.0,0.0,4,7,1200,380.0,1974,0.0,98059,47.4756,-122.147,1550,10650
258,9407100800,11/24/2014,255000.0,3,1.0,1230,10170,1.0,0.0,0.0,3,7,1230,0.0,1979,0.0,98045,47.4437,-121.772,1380,10098
261,8644000060,10/24/2014,237000.0,3,1.75,1270,8470,1.0,0.0,0.0,4,7,1270,0.0,1960,0.0,98198,47.4207,-122.29,1600,8470
263,1400300055,4/28/2015,425000.0,2,1.0,770,5040,1.0,0.0,0.0,3,5,770,0.0,1930,0.0,98144,47.5964,-122.29899999999999,1330,2580
264,2123039032,10/27/2014,369900.0,1,0.75,760,10079,1.0,1.0,4.0,5,5,760,0.0,1936,0.0,98070,47.4683,-122.43799999999999,1230,14267
265,8078560140,5/19/2014,290000.0,4,2.5,1700,7280,2.0,0.0,0.0,4,7,1700,0.0,1988,0.0,98031,47.4045,-122.171,1950,7475
266,3438500192,9/29/2014,285000.0,3,1.0,1120,10701,1.0,0.0,0.0,3,7,1120,0.0,1954,0.0,98106,47.5544,-122.35799999999999,1130,6350
267,7974200510,8/14/2014,415000.0,2,1.0,1070,4500,1.0,0.0,0.0,3,7,1070,0.0,1937,0.0,98115,47.6802,-122.29,1320,4465
268,2557000400,4/9/2015,272500.0,3,2.5,2070,9900,1.0,0.0,0.0,3,8,1420,650.0,1979,0.0,98023,47.2988,-122.37100000000001,2070,8250
271,6378500125,5/1/2015,436000.0,2,1.0,1040,7538,1.0,0.0,0.0,4,7,1040,0.0,1939,0.0,98133,47.7107,-122.352,1440,7530
272,1745100140,10/17/2014,210000.0,3,1.0,1700,11390,1.0,0.0,0.0,4,7,1700,0.0,1967,0.0,98003,47.3271,-122.323,1350,8164
273,2976800796,9/25/2014,236000.0,3,1.0,1300,5898,1.0,0.0,0.0,3,7,1300,0.0,1961,0.0,98178,47.5053,-122.255,1320,7619
274,4235400186,11/24/2014,331000.0,3,1.75,1080,1306,1.0,0.0,0.0,3,7,580,500.0,1954,2003.0,98199,47.6601,-122.4,1440,2225
275,4215100060,3/20/2015,365000.0,3,2.5,2653,4510,2.0,0.0,0.0,3,8,2653,0.0,2006,0.0,98031,47.4145,-122.166,2653,4927
279,9412900055,5/5/2015,405000.0,3,1.75,2390,6000,1.0,0.0,0.0,3,6,1240,1150.0,1908,0.0,98118,47.5362,-122.26799999999999,2020,6000
280,1722059235,7/3/2014,304900.0,4,1.75,2600,11325,1.0,0.0,0.0,4,7,1610,990.0,1969,0.0,98031,47.3954,-122.206,1720,11088
281,6874200960,2/27/2015,170000.0,2,1.0,860,5265,1.0,0.0,0.0,3,6,860,0.0,1931,0.0,98178,47.5048,-122.272,1650,8775
284,5634500392,4/10/2015,330000.0,3,3.0,2420,13959,1.0,0.0,0.0,4,8,1740,680.0,1988,0.0,98028,47.7486,-122.23,2570,13300
285,1509500060,9/5/2014,370000.0,4,2.5,2720,8666,2.0,0.0,0.0,3,9,2720,0.0,1992,0.0,98030,47.3846,-122.169,2410,8100
287,6647200060,2/9/2015,405000.0,3,1.75,1670,6720,1.0,0.0,0.0,3,7,1140,530.0,1980,0.0,98034,47.7198,-122.193,1670,7320
290,6113400046,7/23/2014,389999.0,4,2.5,1890,15770,2.0,0.0,0.0,4,7,1890,0.0,1968,0.0,98166,47.4281,-122.34299999999999,2410,15256
292,1115450240,10/22/2014,360000.0,4,2.5,2160,9528,2.0,0.0,0.0,3,9,2160,0.0,1992,0.0,98001,47.3341,-122.255,2280,9937
296,5468730030,8/22/2014,265000.0,3,2.0,1320,8959,1.0,0.0,0.0,3,7,1320,0.0,1993,0.0,98042,47.3536,-122.14399999999999,1740,7316
298,600000152,6/2/2014,404000.0,3,1.5,2030,8880,1.0,0.0,0.0,3,7,1330,700.0,1963,0.0,98108,47.5586,-122.311,2140,5592
299,1840000030,5/29/2014,267500.0,3,1.75,1590,11914,1.0,0.0,2.0,3,7,1090,500.0,1957,0.0,98188,47.4427,-122.274,1630,9052
301,3260800030,8/11/2014,335000.0,3,2.5,2440,7632,2.0,0.0,0.0,3,8,2440,0.0,1998,0.0,98003,47.3494,-122.301,2510,7903
303,5104530560,4/1/2015,208633.0,3,2.5,2040,3810,2.0,0.0,0.0,3,8,2040,0.0,2006,0.0,98038,47.3537,-122.0,2370,4590
304,4330600350,1/15/2015,315000.0,3,2.25,2200,8750,1.0,0.0,0.0,4,7,1120,1080.0,1964,0.0,98166,47.476000000000006,-122.337,1460,10139
311,7994700030,10/23/2014,201000.0,5,1.75,1660,78408,1.5,0.0,0.0,3,6,1660,0.0,1915,0.0,98065,47.528999999999996,-121.837,1660,78408
315,1328320800,11/5/2014,305000.0,4,2.25,1950,7700,1.0,0.0,0.0,3,8,1350,600.0,1979,0.0,98058,47.4441,-122.125,2150,7350
317,3422059208,5/11/2015,390000.0,3,2.5,1930,64904,1.0,0.0,0.0,4,8,1930,0.0,1988,0.0,98042,47.346000000000004,-122.15700000000001,2350,57500
319,4337000335,11/22/2014,268750.0,4,1.0,800,8775,1.0,0.0,0.0,3,6,800,0.0,1943,0.0,98166,47.48,-122.336,1310,8775
322,3353400435,7/21/2014,230000.0,3,2.0,1450,11204,1.0,0.0,0.0,3,7,1450,0.0,2003,0.0,98001,47.2639,-122.25200000000001,1520,9518
323,7972000240,2/2/2015,240000.0,3,1.75,1510,10248,1.0,0.0,0.0,3,7,1510,0.0,1969,0.0,98023,47.2929,-122.37100000000001,1510,9753
324,7520000520,9/5/2014,232000.0,2,1.0,1240,12092,1.0,0.0,0.0,3,6,960,280.0,1922,1984.0,98146,47.4957,-122.352,1820,7460
325,7520000520,3/11/2015,240500.0,2,1.0,1240,12092,1.0,0.0,0.0,3,6,960,280.0,1922,1984.0,98146,47.4957,-122.352,1820,7460
326,3530210260,10/27/2014,274975.0,3,2.5,3030,45004,2.0,0.0,0.0,3,9,3030,0.0,1987,0.0,98077,47.7721,-122.09299999999999,3080,35781
328,1665400045,4/28/2015,186375.0,3,1.0,1000,7636,1.0,0.0,0.0,2,7,1000,0.0,1952,0.0,98166,47.472,-122.344,1150,7600
331,2946001550,4/16/2015,279000.0,6,1.75,2240,11180,2.0,0.0,0.0,4,7,2240,0.0,1955,0.0,98198,47.42,-122.323,1590,7955
332,8078490390,7/29/2014,295000.0,3,2.0,1810,10530,1.0,0.0,2.0,3,8,1810,0.0,1991,0.0,98022,47.1913,-122.012,1910,10450
335,5009600070,10/7/2014,260000.0,4,2.5,1960,5238,2.0,0.0,0.0,3,7,1960,0.0,2003,0.0,98038,47.3483,-122.052,1800,5894
