,price,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,bath_0.75,bath_1.0,bath_1.25,bath_1.5,bath_1.75,bath_2.0,bath_2.25,bath_2.5,bath_2.75,bath_3.0,bath_3.25,bath_3.5,cond_2,cond_3,cond_4,cond_5,bed_2,bed_3,bed_4,bed_5,bed_6,bed_7,bed_8,bed_9,bed_10,bed_11
153,255000.0,2060,8632,1.0,0.0,0.0,1030,1030.0,1962,0.0,98146,1010,11680,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
159,269950.0,1340,7250,1.0,0.0,0.0,700,640.0,1949,0.0,98198,1830,9750,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
163,284000.0,1560,21000,1.0,0.0,0.0,1560,0.0,1954,0.0,98166,1070,7920,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
164,272000.0,2160,7140,1.0,0.0,0.0,1670,490.0,1978,0.0,98023,1930,7350,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
165,313000.0,1340,7912,1.5,0.0,0.0,1340,0.0,1955,0.0,98133,1480,7940,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
171,269950.0,1950,7560,1.0,0.0,2.0,1320,630.0,1975,0.0,98022,1950,8941,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
173,260000.0,1670,5797,2.0,0.0,0.0,1670,0.0,1988,0.0,98030,1670,6183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
176,163500.0,1050,3419,2.0,0.0,0.0,1050,0.0,1996,0.0,98038,1050,3417,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
179,269000.0,1490,10000,1.0,0.0,0.0,1100,390.0,1969,0.0,98023,2190,8910,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
183,305000.0,1650,9480,1.0,0.0,0.0,1220,430.0,1977,0.0,98034,1540,8400,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
184,166950.0,1190,8820,1.0,0.0,0.0,1190,0.0,1959,0.0,98058,1230,7980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
187,230000.0,1060,10228,1.0,0.0,0.0,1060,0.0,1948,0.0,98155,1570,10228,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
188,256883.0,1690,5025,2.0,0.0,0.0,1690,0.0,2003,0.0,98023,2550,5001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
193,210000.0,860,11725,1.0,0.0,0.0,860,0.0,1943,0.0,98056,1300,9514,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
194,297000.0,1940,14952,2.0,0.0,0.0,1940,0.0,1994,0.0,98042,2030,10450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
196,226500.0,1300,7370,1.0,0.0,0.0,900,400.0,1976,0.0,98023,1430,7500,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
197,274250.0,910,8450,1.0,0.0,0.0,910,0.0,1962,0.0,98059,1400,8040,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
201,180250.0,900,9600,1.0,0.0,0.0,900,0.0,1941,0.0,98166,1250,14280,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
213,279950.0,1750,9750,1.0,0.0,0.0,1350,400.0,1961,0.0,98198,1900,10125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
219,264950.0,1720,9753,1.0,0.0,0.0,1120,600.0,1978,0.0,98023,1510,9753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
220,235000.0,1430,15246,1.0,0.0,0.0,980,450.0,1961,0.0,98031,1960,13068,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
224,315000.0,2940,7350,1.0,0.0,0.0,1780,1160.0,1978,0.0,98023,2120,8236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
225,213000.0,1000,10200,1.0,0.0,0.0,1000,0.0,1961,0.0,98024,1150,13702,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
231,225000.0,1430,8505,1.0,0.0,0.0,1430,0.0,1968,0.0,98003,1190,8640,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
234,225000.0,1300,8316,1.0,0.0,0.0,1300,0.0,1954,0.0,98002,1260,8316,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
237,181000.0,720,5120,1.0,0.0,0.0,720,0.0,1954,0.0,98106,1150,2566,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
238,250000.0,2010,7312,1.0,0.0,0.0,2010,0.0,1976,0.0,98002,2010,7650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
240,260000.0,1810,7209,1.0,0.0,0.0,1240,570.0,1978,0.0,98032,1750,7209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
244,245000.0,1730,7442,2.0,0.0,0.0,1730,0.0,1987,0.0,98030,1630,6458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
247,315000.0,1580,11455,1.0,0.0,0.0,1200,380.0,1974,0.0,98059,1550,10650,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
248,255000.0,1230,10170,1.0,0.0,0.0,1230,0.0,1979,0.0,98045,1380,10098,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
251,237000.0,1270,8470,1.0,0.0,0.0,1270,0.0,1960,0.0,98198,1600,8470,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
255,290000.0,1700,7280,2.0,0.0,0.0,1700,0.0,1988,0.0,98031,1950,7475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
256,285000.0,1120,10701,1.0,0.0,0.0,1120,0.0,1954,0.0,98106,1130,6350,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
258,272500.0,2070,9900,1.0,0.0,0.0,1420,650.0,1979,0.0,98023,2070,8250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
260,210000.0,1700,11390,1.0,0.0,0.0,1700,0.0,1967,0.0,98003,1350,8164,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
261,236000.0,1300,5898,1.0,0.0,0.0,1300,0.0,1961,0.0,98178,1320,7619,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
268,304900.0,2600,11325,1.0,0.0,0.0,1610,990.0,1969,0.0,98031,1720,11088,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
283,265000.0,1320,8959,1.0,0.0,0.0,1320,0.0,1993,0.0,98042,1740,7316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
286,267500.0,1590,11914,1.0,0.0,2.0,1090,500.0,1957,0.0,98188,1630,9052,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
289,208633.0,2040,3810,2.0,0.0,0.0,2040,0.0,2006,0.0,98038,2370,4590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
290,315000.0,2200,8750,1.0,0.0,0.0,1120,1080.0,1964,0.0,98166,1460,10139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
298,305000.0,1950,7700,1.0,0.0,0.0,1350,600.0,1979,0.0,98058,2150,7350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
302,268750.0,800,8775,1.0,0.0,0.0,800,0.0,1943,0.0,98166,1310,8775,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
305,230000.0,1450,11204,1.0,0.0,0.0,1450,0.0,2003,0.0,98001,1520,9518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
306,240000.0,1510,10248,1.0,0.0,0.0,1510,0.0,1969,0.0,98023,1510,9753,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
309,274975.0,3030,45004,2.0,0.0,0.0,3030,0.0,1987,0.0,98077,3080,35781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
311,186375.0,1000,7636,1.0,0.0,0.0,1000,0.0,1952,0.0,98166,1150,7600,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
314,279000.0,2240,11180,2.0,0.0,0.0,2240,0.0,1955,0.0,98198,1590,7955,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
315,295000.0,1810,10530,1.0,0.0,2.0,1810,0.0,1991,0.0,98022,1910,10450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
318,260000.0,1960,5238,2.0,0.0,0.0,1960,0.0,2003,0.0,98038,1800,5894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
321,265000.0,1420,8250,1.0,0.0,0.0,1420,0.0,1954,0.0,98133,1740,8000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
322,245000.0,1740,11547,1.0,0.0,0.0,1740,0.0,1954,0.0,98178,880,78408,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
326,309600.0,1275,20000,1.0,0.0,0.0,1275,0.0,1991,0.0,98070,1660,20000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
328,165000.0,1000,7134,1.0,0.0,0.0,1000,0.0,1943,0.0,98178,1020,7138,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
329,239900.0,1000,7134,1.0,0.0,0.0,1000,0.0,1943,0.0,98178,1020,7138,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
331,206600.0,1390,13464,1.0,0.0,0.0,1390,0.0,1987,0.0,98030,1720,12080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
333,299000.0,560,12120,1.0,0.0,0.0,560,0.0,1967,0.0,98014,1300,19207,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
335,315000.0,1900,14400,1.0,0.0,0.0,1300,600.0,1954,0.0,98166,1940,14400,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
337,252000.0,1550,19800,1.0,0.0,0.0,1050,500.0,1969,0.0,98001,1640,22654,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
339,300000.0,1910,4862,2.0,0.0,0.0,1910,0.0,2005,0.0,98038,2010,5091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
353,280000.0,1430,7222,2.0,0.0,0.0,1430,0.0,1993,0.0,98056,1430,7220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
354,315000.0,2180,10754,1.0,0.0,0.0,1100,1080.0,1954,0.0,98133,1810,6929,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
357,297000.0,1450,7562,2.0,0.0,0.0,1450,0.0,1994,0.0,98056,1650,7625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
360,275000.0,1590,7750,1.0,0.0,0.0,1060,530.0,1997,0.0,98038,1680,7500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
363,270000.0,1380,209959,1.0,0.0,0.0,1380,0.0,1954,0.0,98011,3130,19868,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
369,252350.0,1650,7352,1.0,0.0,0.0,1160,490.0,1979,0.0,98058,1710,7350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
381,269900.0,1530,8750,1.5,0.0,0.0,1530,0.0,1968,0.0,98058,1390,8750,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
389,278500.0,1570,5250,1.0,0.0,0.0,1570,0.0,1998,0.0,98092,1570,5250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
392,268000.0,1550,8134,2.0,0.0,0.0,1550,0.0,1991,0.0,98031,1550,8134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
406,245000.0,1530,8500,1.0,0.0,0.0,1030,500.0,1996,0.0,98038,1850,8140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
407,310000.0,2190,27260,1.0,0.0,0.0,2190,0.0,1947,0.0,98166,1620,39480,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
413,237000.0,1490,2138,2.0,0.0,0.0,1490,0.0,2005,0.0,98055,1490,2094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
420,227950.0,1670,8230,1.0,0.0,0.0,1670,0.0,1954,0.0,98001,2077,4910,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
421,196000.0,2070,11576,2.0,0.0,0.0,2070,0.0,1974,0.0,98001,1890,7519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
424,205000.0,940,7980,1.0,0.0,0.0,940,0.0,1960,0.0,98032,1150,8050,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
